time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-31T11:29:51.840Z,34.0498333,-117.2426667,16.78,1.05,ml,45,64,0.06469,0.14,ci,ci37409362,2018-10-31T17:46:30.934Z,"2km E of Loma Linda, CA",earthquake,0.21,0.37,0.091,22,reviewed,ci,ci
2018-10-31T11:14:14.550Z,39.6018333,-123.3990021,0.41,1.85,md,8,177,0.141,0.07,nc,nc73104206,2018-10-31T13:57:03.632Z,"12km SE of Laytonville, CA",earthquake,0.63,7.53,0.09,4,automatic,nc,nc
2018-10-31T10:48:07.664Z,61.4797,-150.6694,55.7,1.3,ml,,,,0.39,ak,ak20306448,2018-10-31T10:50:57.355Z,"38km W of Big Lake, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-10-31T10:26:39.253Z,61.6051,-151.4671,71.6,0.8,ml,,,,0.64,ak,ak20306323,2018-10-31T10:31:12.183Z,"77km W of Willow, Alaska",earthquake,,1.3,,,automatic,ak,ak
2018-10-31T10:25:12.660Z,37.454,20.8673,10,4.5,mb,,104,1.945,1.15,us,us2000i4iw,2018-10-31T10:45:40.040Z,"29km S of Lithakia, Greece",earthquake,6.7,1.9,0.14,15,reviewed,us,us
2018-10-31T10:18:23.140Z,33.4855,-116.788,4.52,0.7,ml,32,38,0.02872,0.14,ci,ci37409354,2018-10-31T13:41:47.680Z,"9km ENE of Aguanga, CA",earthquake,0.17,0.42,0.101,24,reviewed,ci,ci
2018-10-31T10:14:51.890Z,37.6195,-118.8485,-0.11,1.06,md,7,111,0.01149,0.03,nc,nc73104191,2018-10-31T17:16:02.709Z,"12km E of Mammoth Lakes, CA",earthquake,0.3,0.48,0.25,3,reviewed,nc,nc
2018-10-31T10:14:30.830Z,34.5871667,-116.2753333,1.56,1.38,ml,16,66,0.1399,0.19,ci,ci37409346,2018-10-31T13:40:36.930Z,"18km SW of Ludlow, CA",earthquake,0.41,1.17,0.161,21,reviewed,ci,ci
2018-10-31T10:02:51.700Z,33.9255,-116.8321667,5.91,0.45,ml,12,101,0.09614,0.2,ci,ci37409338,2018-10-31T13:40:37.568Z,"4km E of Banning, CA",earthquake,0.44,1.43,0.114,6,reviewed,ci,ci
2018-10-31T09:58:54.530Z,33.1378333,-116.637,4.79,0.61,ml,20,95,0.06175,0.16,ci,ci37409330,2018-10-31T15:50:02.832Z,"7km NNW of Julian, CA",earthquake,0.26,0.4,0.155,9,reviewed,ci,ci
2018-10-31T09:53:34.080Z,18.875,-67.3056,61,2.93,md,5,328,0.733,0.2,pr,pr2018304003,2018-10-31T11:49:22.389Z,"47km NNW of San Antonio, Puerto Rico",earthquake,3.04,4.99,0.19,5,reviewed,pr,pr
2018-10-31T09:36:50.923Z,63.2193,-150.1428,97.4,1.9,ml,,,,0.64,ak,ak20306309,2018-10-31T09:43:39.970Z,"62km WSW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-10-31T09:34:14.240Z,35.9546,-96.7552,5.41,2.7,mb_lg,,64,0.054,0.2,us,us2000i4hx,2018-10-31T20:04:13.649Z,"3km SSE of Cushing, Oklahoma",earthquake,1.1,3.2,0.062,67,reviewed,us,us
2018-10-31T09:32:00.479Z,38.397,-118.8776,11.5,0.8,ml,6,167.54,0.327,0.1464,nn,nn00663591,2018-10-31T18:30:41.420Z,"26km WSW of Hawthorne, Nevada",earthquake,,15.6,0,1,reviewed,nn,nn
2018-10-31T09:17:27.146Z,60.72,-150.7454,39.6,1,ml,,,,0.68,ak,ak20306305,2018-10-31T09:20:33.553Z,"20km N of Sterling, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-10-31T09:09:54.079Z,60.0939,-141.5266,1.5,1.2,ml,,,,1.35,ak,ak20306302,2018-10-31T09:15:22.017Z,"50km E of Cape Yakataga, Alaska",earthquake,,6.8,,,automatic,ak,ak
2018-10-31T08:55:59.300Z,38.8035011,-122.791832,0.53,1.56,md,6,138,0.02445,0.01,nc,nc73104181,2018-10-31T10:58:03.437Z,"4km NW of The Geysers, CA",earthquake,1.52,1.74,,1,automatic,nc,nc
2018-10-31T08:44:47.355Z,36.2747,-116.0719,5.3,0.6,ml,15,146.75,0.246,0.1684,nn,nn00663558,2018-10-31T17:23:04.122Z,"10km NW of Pahrump, Nevada",earthquake,,3.9,0.22,8,reviewed,nn,nn
2018-10-31T08:43:46.690Z,33.675,-116.7506667,9.65,0.09,ml,13,102,0.04719,0.07,ci,ci37409322,2018-10-31T18:16:37.555Z,"8km SSW of Idyllwild, CA",earthquake,0.21,0.35,0.104,6,reviewed,ci,ci
2018-10-31T08:29:59.320Z,27.8509,102.2742,25.35,5.1,mb,,25,6.664,1.14,us,us2000i4he,2018-10-31T08:55:10.225Z,"5km SSE of Xichang, China",earthquake,5,4.8,0.045,164,reviewed,us,us
2018-10-31T08:28:41.820Z,33.6861667,-116.747,16.5,0.36,ml,17,107,0.03703,0.09,ci,ci37409314,2018-10-31T18:12:54.629Z,"6km SSW of Idyllwild, CA",earthquake,0.28,0.4,0.128,4,reviewed,ci,ci
2018-10-31T08:21:25.290Z,37.5286667,-118.8598333,5.23,0.45,md,10,273,0.06594,0.08,nc,nc73104176,2018-10-31T16:22:40.426Z,"16km SE of Mammoth Lakes, CA",earthquake,0.77,1.13,0.147,9,reviewed,nc,nc
2018-10-31T08:05:48.400Z,36.6749992,-121.2958298,6.34,2.35,md,6,172,0.1418,0.04,nc,nc73104171,2018-10-31T09:36:02.956Z,"13km S of Tres Pinos, CA",earthquake,1.29,1.44,,1,automatic,nc,nc
2018-10-31T07:54:31.860Z,37.582,-118.8593333,2.36,0.4,md,7,234,0.02531,0.05,nc,nc73104161,2018-10-31T17:06:03.648Z,"12km ESE of Mammoth Lakes, CA",earthquake,1.02,0.94,0.228,6,reviewed,nc,nc
2018-10-31T07:52:11.940Z,38.8149986,-122.7990036,1.47,1.03,md,18,54,0.01442,0.04,nc,nc73104156,2018-10-31T08:26:03.343Z,"6km NW of The Geysers, CA",earthquake,0.26,0.49,0.22,5,automatic,nc,nc
2018-10-31T07:51:07.944Z,61.1883,-150.7058,42.7,1.8,ml,,,,0.6,ak,ak20306040,2018-10-31T07:56:11.784Z,"43km W of Anchorage, Alaska",earthquake,,1,,,automatic,ak,ak
